date,plant_id,product_line,product_category,demand_units,raw_material_1,raw_material_2,raw_material_3,raw_material_4,economic_index,capacity_utilization,supply_chain_disruption,working_days_month,is_holiday,fuel_cost_index,labor_availability,inventory_level,lead_time_days,order_backlog
2023-01-01,Mumbai_Electronics,PCB_Assembly_001,Electronics,47,Silicon_Wafers,Copper_Wire,Plastic_Resin,Gold_Wire,99.52,0.031,0,22,1,49.52,0.651,1006,7,7
2023-01-01,Mumbai_Electronics,PCB_Assembly_002,Electronics,41,Silicon_Wafers,Copper_Wire,Plastic_Resin,Gold_Wire,99.52,0.027,0,22,1,49.52,0.632,1000,9,54
2023-01-01,Mumbai_Electronics,Component_001,Electronics,46,Silicon_Wafers,Copper_Wire,Plastic_Resin,Gold_Wire,99.52,0.031,0,22,1,49.52,0.664,1382,9,20
2023-01-01,Chennai_Automotive,Engine_Part_A01,Automotive,32,Steel_Sheet,Aluminum_Block,Rubber_Compound,Electronics_Module,99.52,0.027,0,22,1,49.52,0.736,1110,10,44
2023-01-01,Chennai_Automotive,Body_Part_B02,Automotive,35,Steel_Sheet,Aluminum_Block,Rubber_Compound,Electronics_Module,99.52,0.029,0,22,1,49.52,0.673,1302,8,95
2023-01-01,Chennai_Automotive,Interior_C03,Automotive,30,Steel_Sheet,Aluminum_Block,Rubber_Compound,Electronics_Module,99.52,0.025,0,22,1,49.52,0.745,1204,7,74
2023-01-01,Pune_Textiles,Cotton_Fabric_T01,Textiles,52,Cotton_Fiber,Polyester_Yarn,Dye_Chemical,Finishing_Agent,99.52,0.026,0,22,1,49.52,0.755,1047,8,20
2023-01-01,Pune_Textiles,Synthetic_T02,Textiles,53,Cotton_Fiber,Polyester_Yarn,Dye_Chemical,Finishing_Agent,99.52,0.026,0,22,1,49.52,0.764,1162,9,42
2023-01-01,Pune_Textiles,Blended_T03,Textiles,54,Cotton_Fiber,Polyester_Yarn,Dye_Chemical,Finishing_Agent,99.52,0.027,0,22,1,49.52,0.681,1211,10,67
2023-01-01,Bangalore_Pharma,Tablet_P01,Pharmaceuticals,16,Active_Ingredient,Lactose,Starch,Cellulose,99.52,0.02,0,22,1,49.52,0.759,1263,9,16
2023-01-01,Bangalore_Pharma,Liquid_P02,Pharmaceuticals,20,Active_Ingredient,Lactose,Starch,Cellulose,99.52,0.025,0,22,1,49.52,0.677,1023,10,42
2023-01-01,Bangalore_Pharma,API_P03,Pharmaceuticals,18,Active_Ingredient,Lactose,Starch,Cellulose,99.52,0.022,0,22,1,49.52,0.64,1394,9,70
2023-01-02,Mumbai_Electronics,PCB_Assembly_001,Electronics,1928,Silicon_Wafers,Copper_Wire,Plastic_Resin,Gold_Wire,96.93,1.0,0,22,0,48.98,0.996,1336,8,19
2023-01-02,Mumbai_Electronics,PCB_Assembly_002,Electronics,1787,Silicon_Wafers,Copper_Wire,Plastic_Resin,Gold_Wire,96.93,1.0,0,22,0,48.98,0.898,1378,8,47
2023-01-02,Mumbai_Electronics,Component_001,Electronics,1562,Silicon_Wafers,Copper_Wire,Plastic_Resin,Gold_Wire,96.93,1.0,0,22,0,48.98,0.9,1043,7,1
2023-01-02,Chennai_Automotive,Engine_Part_A01,Automotive,1363,Steel_Sheet,Aluminum_Block,Rubber_Compound,Electronics_Module,96.93,1.0,0,22,0,48.98,0.887,1119,8,39
2023-01-02,Chennai_Automotive,Body_Part_B02,Automotive,1180,Steel_Sheet,Aluminum_Block,Rubber_Compound,Electronics_Module,96.93,0.983,0,22,0,48.98,1.001,1239,10,78
2023-01-02,Chennai_Automotive,Interior_C03,Automotive,1261,Steel_Sheet,Aluminum_Block,Rubber_Compound,Electronics_Module,96.93,1.0,0,22,0,48.98,0.875,1230,9,89
2023-01-02,Pune_Textiles,Cotton_Fabric_T01,Textiles,1741,Cotton_Fiber,Polyester_Yarn,Dye_Chemical,Finishing_Agent,96.93,0.871,0,22,0,48.98,1.037,1203,10,67
2023-01-02,Pune_Textiles,Synthetic_T02,Textiles,1418,Cotton_Fiber,Polyester_Yarn,Dye_Chemical,Finishing_Agent,96.93,0.709,0,22,0,48.98,0.896,1339,9,7
2023-01-02,Pune_Textiles,Blended_T03,Textiles,1413,Cotton_Fiber,Polyester_Yarn,Dye_Chemical,Finishing_Agent,96.93,0.707,0,22,0,48.98,0.969,1244,8,82
2023-01-02,Bangalore_Pharma,Tablet_P01,Pharmaceuticals,737,Active_Ingredient,Lactose,Starch,Cellulose,96.93,0.921,0,22,0,48.98,1.037,1120,8,92
2023-01-02,Bangalore_Pharma,Liquid_P02,Pharmaceuticals,602,Active_Ingredient,Lactose,Starch,Cellulose,96.93,0.752,0,22,0,48.98,0.967,1483,8,88
2023-01-02,Bangalore_Pharma,API_P03,Pharmaceuticals,745,Active_Ingredient,Lactose,Starch,Cellulose,96.93,0.931,0,22,0,48.98,0.939,1429,11,25
2023-01-03,Mumbai_Electronics,PCB_Assembly_001,Electronics,1583,Silicon_Wafers,Copper_Wire,Plastic_Resin,Gold_Wire,98.99,1.0,0,22,0,53.9,1.044,1463,11,82
2023-01-03,Mumbai_Electronics,PCB_Assembly_002,Electronics,1433,Silicon_Wafers,Copper_Wire,Plastic_Resin,Gold_Wire,98.99,0.955,0,22,0,53.9,1.003,1019,10,33
2023-01-03,Mumbai_Electronics,Component_001,Electronics,1581,Silicon_Wafers,Copper_Wire,Plastic_Resin,Gold_Wire,98.99,1.0,0,22,0,53.9,1.016,1033,11,90
2023-01-03,Chennai_Automotive,Engine_Part_A01,Automotive,1073,Steel_Sheet,Aluminum_Block,Rubber_Compound,Electronics_Module,98.99,0.894,0,22,0,53.9,0.865,1367,9,56
