feature,lightgbm_importance,rf_importance,avg_importance
capacity_efficiency,0.8705462911749773,0.5139014989161822,0.6922238950455797
demand_capacity_ratio,0.06283671651881008,0.44133191158300916,0.25208431405090964
capacity_utilization,0.04131995852574709,0.04433149014333524,0.04282572433454117
demand_lag_28,0.015908642048462793,6.611654464690543e-06,0.007957626851463742
demand_rolling_mean_7,0.0062407403567621,0.00014871784622525649,0.003194729101493678
working_days_month,0.0008993322052825191,2.55129800959603e-06,0.0004509417516460576
demand_lag_1,0.000622876582591229,5.860904892581774e-06,0.0003143687437419054
demand_rolling_std_14,0.00023074928466102103,5.931312876706358e-05,0.00014503120671404231
demand_lag_7,0.00022482222935177302,8.11735111442367e-06,0.00011646979023309834
day_cos,0.00021646406297386688,2.4755031794382227e-06,0.00010946978307665254
demand_rolling_std_7,0.0001591363447561816,3.856523517051642e-05,9.885078996334901e-05
dayofweek,0.0001106807804010904,2.4845892473113146e-06,5.658268482420086e-05
demand_rolling_mean_30,6.904486161233484e-05,1.0486699502439346e-05,3.976578055738709e-05
demand_rolling_mean_14,6.559683642317775e-05,1.0545402233819345e-05,3.807111932849855e-05
demand_rolling_std_30,4.468357432831434e-05,2.0111988118920726e-05,3.239778122361753e-05
